OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_AIANNH_20|GEOID_AIANNH_20|NAMELSAD_AIANNH_20|AREALAND_AIANNH_20|AREAWATER_AIANNH_20|MTFCC_AIANNH_20|CLASSFP_AIANNH_20|FUNCSTAT_AIANNH_20|AREALAND_PART|AREAWATER_PART
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|||||||||16296851253|2265151919
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|2519076091260|2865|Poarch Creek Reservation|1607384|7844|G2100|D1|A|1420623|7844
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|2519075232226|9240|MOWA Choctaw Reservation|2694225|0|G2100|D4|A|513395|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|25190111542727|9550|Cher-O-Creek SDTSA|798402811|2767459|G2150|D9|S|798402811|2767459
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|2519065184708|9820|MaChis Lower Creek SDTSA|1680767035|6816074|G2150|D9|S|1655785607|6816074
2119035781135774|0102|Congressional District 2|24514185142|234887544|G5200|N|||||||||24195004091|234077282
2119035781135774|0102|Congressional District 2|24514185142|234887544|G5200|N|2519076091260|2865|Poarch Creek Reservation|1607384|7844|G2100|D1|A|36657|0
2119035781135774|0102|Congressional District 2|24514185142|234887544|G5200|N|2519075232226|9240|MOWA Choctaw Reservation|2694225|0|G2100|D4|A|2180830|0
2119035781135774|0102|Congressional District 2|24514185142|234887544|G5200|N|2519065184708|9820|MaChis Lower Creek SDTSA|1680767035|6816074|G2150|D9|S|24981428|0
2119035781135774|0102|Congressional District 2|24514185142|234887544|G5200|N|25190310703836|9880|Southeastern Mvskoke Nation SDTSA|291982136|810262|G2150|D9|S|291982136|810262
2119035781135783|0103|Congressional District 3|17327344398|466607021|G5200|N|||||||||17327344398|466607021
2119035781135784|0104|Congressional District 4|22351715941|578929047|G5200|N|||||||||22240664386|576397673
2119035781135784|0104|Congressional District 4|22351715941|578929047|G5200|N|25190111542728|9560|Cherokee Tribe of Northeast Alabama SDTSA|88056047|376168|G2150|D9|S|88056047|376168
2119035781135784|0104|Congressional District 4|22351715941|578929047|G5200|N|2519065184707|9680|Echota Cherokee SDTSA|1318524861|7811751|G2150|D9|S|1071880|2455
2119035781135784|0104|Congressional District 4|22351715941|578929047|G5200|N|251903693874849|9950|United Cherokee Ani-Yun-Wiya Nation SDTSA|21923628|2152751|G2150|D9|S|21923628|2152751
2119035781135789|0105|Congressional District 5|10096605285|435993733|G5200|N|||||||||8779152304|428184437
2119035781135789|0105|Congressional District 5|10096605285|435993733|G5200|N|2519065184707|9680|Echota Cherokee SDTSA|1318524861|7811751|G2150|D9|S|1317452981|7809296
2119035781135792|0106|Congressional District 6|11521498116|275148590|G5200|N|||||||||11521355342|275148590
2119035781135792|0106|Congressional District 6|11521498116|275148590|G5200|N|2519076091260|2865|Poarch Creek Reservation|1607384|7844|G2100|D1|A|142774|0
2119035781135799|0107|Congressional District 7|26611138084|325605803|G5200|N|||||||||26611138084|325605803
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|||||||||1425590941012|240641037332
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045732178|0110|Annette Island Reserve|343944586|333894111|G2100|D2|A|343944586|333894111
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045754880|6015|Akhiok ANVSA|19166808|5724762|G2130|E1|S|19166808|5724762
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104038|6020|Akiachak ANVSA|39823160|2821100|G2130|E1|S|39823160|2821100
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104039|6025|Akiak ANVSA|2173229|15267|G2130|E1|S|2173229|15267
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045279846|6030|Akutan ANVSA|3743357|233235|G2130|E1|S|3743357|233235
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048015|6035|Alakanuk ANVSA|83395396|24862278|G2130|E1|S|83395396|24862278
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886975|6040|Alatna ANVSA|46583723|1139845|G2130|E1|S|46583723|1139845
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045529105|6045|Aleknagik ANVSA|33326829|17639041|G2130|E1|S|33326829|17639041
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048016|6065|Algaaciq ANVSA|5565945|670705|G2130|E1|S|5565945|670705
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886976|6070|Allakaket ANVSA|22544588|1058889|G2130|E1|S|22544588|1058889
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352985|6075|Ambler ANVSA|26621407|4063404|G2130|E1|S|26621407|4063404
